"If you want to 100% check your qb vs this list, the only way I know is to copy/paste your qb from /qb list # command BELOW the last row of this column. Then do a Find and Replace under Edit, Find the following without quotes """" and replace with nothing. After you do this any qb you already have will be highlighted, you can then filter out these higlights using filter by color. (if you need help message Angrboa)",,,,,
Asherons Call Custom Quest QB List,QBs Tracked: 3959,,,,
YaraqAppleCovePerfect1204,Lubziklan_al-Luq's_Stolen_Goods,,,Sea Temple Catacombs Quest,FALSE
YaraqApplePieHot1204,Lubziklan_al-Luq's_Stolen_Goods,,,Sea Temple Catacombs Quest,FALSE
YaraqBakingPanCoveApple1204,Lubziklan_al-Luq's_Stolen_Goods,,,Sea Temple Catacombs Quest,FALSE
YaraqCiderCoveAppleAged1204,Lubziklan_al-Luq's_Stolen_Goods,,,Sea Temple Catacombs Quest,FALSE
YaraqCiderHardCoveApple1204,Lubziklan_al-Luq's_Stolen_Goods,,,Sea Temple Catacombs Quest,FALSE
YaraqComplete,Elysa's_Favor_Quest,,,Player has completed the Yaraq Regicide Quest,FALSE
YaraqGreetingGiven,Elysa's_Favor_Quest,,,Tsaya has said hello to player,FALSE
YaraqHeadMarionetteMadStar1204,Search_for_Abmim_ibn_Ibsar_&_Mad_Star_Investigation,,,Yaraq Akyafi Quest,FALSE
YaraqKnifeCoveApple1204,Lubziklan_al-Luq's_Stolen_Goods,,,Sea Temple Catacombs Quest,FALSE
YaraqNasunLetter,Note_of_Congratulation,,,Yaraq Nasun Letter Quest,FALSE
YaraqNoteCoveCrypt1204,Search_for_Abmim_ibn_Ibsar_&_Mad_Star_Investigation,,,Ma'yad ibn Ibsar Quest,FALSE
YaraqRegicideBanditGreeting,Elysa's_Favor_Quest,,,Yaraq Bandit has said hello to player,FALSE
YaraqWineCoveApple1204,Lubziklan_al-Luq's_Stolen_Goods,,,Sea Temple Catacombs Quest,FALSE
ZaikhalDefenseCopperComplete_0511,Defense_of_Zaikhal_(Copper),,,Completed Defense of Zaikhal (Copper),FALSE
ZaikhalDefenseGoldComplete_0511,Defense_of_Zaikhal_(Gold),,,Completed Defense of Zaikhal (Gold),FALSE
ZaikhalDefensePlatinumComplete_0511,Defense_of_Zaikhal_(Platinum),,,Completed Defense of Zaikhal (Platinum),FALSE
ZaikhalDefenseSilverComplete_0511,Defense_of_Zaikhal_(Silver),,,Completed Defense of Zaikhal (Silver),FALSE
ZigguratEntrance,Gaerlan's_Citadel,,,Player may enter any of the ziggurats,FALSE
ChampionQuest05,Hunt_for_Aun_Tuperea,Loot Crop End from Aun Tuperea,,Pick up CropTuperea2,FALSE
ChampionQuest04,Hunt_for_Aun_Tuperea,Loot Crop Handle from Aun Tuperea,,Pick up CropTuperea1,FALSE
ChampionKillQuest1,Hunt_for_Aun_Ralirea,Kill Aun Ralirea,,Kill Aun Ralirea,FALSE
ArantahKill1,Hunt_for_Aun_Ralirea,Give Clay Figurine to Hea Arantah,,PERMANENT - Give Hea Arantah FigurineRalirea,FALSE
ShoushiNenAiCheese1204,Nen_Ai's_Pet_Drudge,,,Retreive Cheese for Nen Ai,FALSE
ShoushiNenAiCider1204,Nen_Ai's_Pet_Drudge,,,Retreive Cider for Nen Ai,FALSE
PetDrudgeCompleted_1111,Nen_Ai's_Pet_Drudge,,,Completed Nen Ai's Pet Drudge,FALSE
FireworksUsed0105,Non-Quest,use Fireworks housing device,,You've set off some New Years fireworks.,FALSE
paidrespectstoantiusblackmoor,Non-Quest,use coffin under bronze statue in Yanshi,,Respects paid to Antius Blackmoor,FALSE
Below this section is an unconfirmed data dump from server ---- will move flags up as I confirm them/they are in game.,,,,,
GlyphKivikLirShardAmber,The_Temple_of_Kivik_Lir,,,You've used the Eye.,FALSE
GlyphKivikLirShardSerpentine,The_Temple_of_Kivik_Lir,,,You've used the Eye.,FALSE
KivikLirFinished,Retired,,,You've used the Eye.,FALSE
CraftingForgeUsed1204,Non-quest,,,you've used any crafting forge,FALSE
SnowmakerUsed,Assault_on_Frost_Haven,,,You've set off some snow.,FALSE
CrystalLordHunterComplete,Aun_Golem_Hunters,,,You've received a key from Tahuirea.,FALSE
PickedUpZharalimMasterJournal,Decrepit_Tower_Quest,,,You've picked up the Zharalim Master's Journal.,FALSE
PickedUpZharalimForemanJournal,Decrepit_Tower_Quest,,,You've picked up the Zharalim Foreman's Journal.,FALSE
PickedUpSarcophagusHookable,Dark_Towers,,,You've picked up the Shadow Stone Necklace.,FALSE
RingMaelstrom2,Singularity_Recall,,,You've picked up one of the Dark Rings.,FALSE
PickedUpTasselMagic,Decrepit_Tower_Quest,,,You've picked up a Woven Tassel of Sound Mind.,FALSE
PickedUpTasselMissile,Decrepit_Tower_Quest,,,You've picked up a Woven Tassel of Far Sight.,FALSE
PickedUpTasselMelee,Decrepit_Tower_Quest,,,You've picked up a Woven Tassel of Discord.,FALSE
PickedUpZharalimEmblem,Decrepit_Tower_Quest,,,You've picked up a Crest of the Shagar Zharala.,FALSE
BookcaseNoir1,Noir_Assassination_Investigation,,,You've moved the bookcase.,FALSE
NPCBackPackKivikLir,,,,You've gotten the journal from the backpack.,FALSE
ForgeEssenceGiven1204,Crafting_Forges,,,You've given any forge essence to any crafting forge,FALSE
HizkRiEntranceFail,Retired,,,You've failed the entrance exam to Hizk Ri's temple.,FALSE
EyeKivikLirTrialLogic,Retired,,,You've completed the Kivik Lir Logic Trial.,FALSE
EyeKivikLirTrialArena,Retired,,,You've completed the Kivik Lir Combat Trial.,FALSE
EyeKivikLirTrialJump,Retired,,,You've completed the Kivik Lir Agility Trial.,FALSE
HizkRiFinished,Retired,,,You've collected the reward for the Hizk Ri quest.,FALSE
FellowshipCrystalLordSlayerQuest,Aun_Golem_Hunters,,,Your fellowhsip has killed a Crystal Lord.,FALSE
MorgluukKiller,Retired,,,You were one of the first people to kill Morgluuk.,FALSE
TouchedPvPHatePillar800205,Mausoleum_of_Slaughter_Quest,,,You touched the Pillar of Slaughter,FALSE
TouchedPvPHatePillar600205,Mausoleum_of_Cruelty_Quest,,,You touched the Pillar of Cruelty,FALSE
TouchedPvPHatePillar200205,Mausoleum_of_Bitterness_Quest,,,You touched the Pillar of Bitterness,FALSE
TouchedPvPHatePillar400205,Mausoleum_of_Anger_Quest,,,You touched the Pillar of Anger,FALSE
TouchedPvPHateEffigy800205,Mausoleum_of_Slaughter_Quest,,,You received an XP award from the Effigy of Slaughter,FALSE
TouchedPvPHateEffigy600205,Mausoleum_of_Cruelty_Quest,,,You received an XP award from the Effigy of Cruelty,FALSE
TouchedPvPHateEffigy200205,Mausoleum_of_Bitterness_Quest,,,You received an XP award from the Effigy of Bitterness,FALSE
TouchedPvPHateEffigy400205,Mausoleum_of_Anger_Quest,,,You received an XP award from the Effigy of Anger,FALSE
ReceivedToolOnyxCutting,The_Moars,,,You received an Onyx Cutting Tool from Fanzen San.,FALSE
ChangedSurveyorSettings,,"Arwic Surveyor, not available!",,You played with the surveyor's equipment! Bad person!,FALSE
PickedUpMapAuberean,Resting_Place_Quest,,,You picked up the Map of Auberean.,FALSE
PickedUpTokenTitleGraveRobber,Resting_Place_Quest,,,You picked up the Grave Robber Title Token.,FALSE
CarloLoreViamontianMages007Acquired0205,Carlo_di_Cenza's_Journal,,,You picked up page 7 of Carlo di Cenza's journal.,FALSE
CarloLoreViamontianMages001Acquired0205,Carlo_di_Cenza's_Journal,,,You picked up page 1 of Carlo di Cenza's journal.,FALSE
CarloLoreViamontianMagesBindingAcquired0205,Carlo_di_Cenza's_Journal,,,You picked up Carlo di Cenza's book binding.,FALSE
PickedUpBookMoarsLowUntranslated,The_Moars,,,You picked up an Untranslated Tome.,FALSE
PickedUpBookMoarsMidUntranslated,The_Moars,,,You picked up an Untranslated Tome.,FALSE
PickedUpSarchophagusHookable,Resting_Place_Quest,,,You picked up a coffin.,FALSE
BagPuzzleFailed,,,,You picked the wrong contents for one of the bags.,FALSE
UsedHeadHomunculus,The_Homunculus,,,You have used the Head of the Homunculus.,FALSE
UsedMonolithDark,Dark_Monolith_Quest,,,You have used the Dark Monolith.,FALSE
SiraluunClawHairbrushBadlands1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairbrushKithless1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairbrushLittoral1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairbrushMarsh1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairbrushStrand1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairbrushTidal1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairbrushTimber1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairbrushUntamed1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairgelBadlands1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairgelKithless1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairgelLittoral1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairgelMarsh1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairgelStrand1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairgelTidal1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairgelTimber1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairgelUntamed1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairpinBadlands1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairpinKithless1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairpinLittoral1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairpinMarsh1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairpinStrand1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairpinTidal1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairpinTimber1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawHairpinUntamed1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawScissorsBadlands1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawScissorsKithless1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawScissorsLittoral1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawScissorsMarsh1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawScissorsStrand1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawScissorsTidal1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawScissorsTimber1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
SiraluunClawScissorsUntamed1204,Siraluun_Claw,,,You have turned in this item already.,FALSE
PickedUpMosswartStoneDeath,Burun_Raids,"Loot Bleeargh during Burun Raids Event, not available!",,You have taken a Mosswart Mourning Stone from a Mosswart Corpse.,FALSE
PickedUpBurunFetish,Burun_Raids,,,You have taken a Burun Fetish from the corpse of a raiding Burun.,FALSE
SpokenToEyeKivikLirTrialLogic,Retired,,,You have spoken to the Logical Eye of the Watcher.,FALSE
StatueKivikLirGuardianTrial,Retired,,,You have spoken to the Guardian of the Trials.,FALSE
SpokenToStatueKivikLirArena,Retired,,,You have spoken to the Guardian of the Arena.,FALSE
StatueKivikLirGuardianAntechamber,Retired,,,You have spoken to the Guardian of the Antechamber.,FALSE
AsheronInvasionSpoken,,,,You have spoken to the Almighty Asheron!,FALSE
ShellGameShellAnswer1,Clutch_of_Kings_(Keerik),,,You have seen the shell game.,FALSE
ShellGameShellAnswer2,Clutch_of_Kings_(Keerik),,,You have seen the shell game.,FALSE
ReceivedNewYearsGift0105,,,,You have received a New Year's gift!,FALSE
PickedUpSpearYaja,Retired,,,You have picked up Yaja's Reach.,FALSE
ForgeEssenceSouthAcquired1204,Crafting_Forges_(Mid),,,You have picked up the Southern Forge Essence,FALSE
ForgeEssenceNOrthAcquired1204,Crafting_Forges_(Low),,,You have picked up the Northern Forge Essence,FALSE
PickedUpClawGibbering,Oubliette_Quest,,,You have picked up the Gibbering Claw.,FALSE
RingShieldingWestAcquired1204,Crafting_Forges_(High),,,You have picked up RingShieldingWest,FALSE
RingShieldingSouthAcquired1204,Crafting_Forges_(Mid),,,You have picked up RingShieldingSouth,FALSE
RingShieldingNorthAcquired1204,Crafting_Forges_(Low),,,You have picked up RingShieldingNorth,FALSE
PickedUpMosswartStoneThanks,Retired,,,You have picked up a Mosswart Thanking Stone.,FALSE
ChestBlackMarrowBurningTower0205,Black_Marrow_Reliquary,,,You have opened this chest already.,FALSE
ChestBlackMarrowCaulOasis0205,Black_Marrow_Reliquary,,,You have opened this chest already.,FALSE
ChestBlackMarrowFloatingBridge0205,Black_Marrow_Reliquary,,,You have opened this chest already.,FALSE
ChestBlackMarrowFloatingTower0205,Black_Marrow_Reliquary,,,You have opened this chest already.,FALSE
chestblackmarrowtunneloflove0205,Black_Marrow_Reliquary,,,You have opened this chest already.,FALSE
chestchorizite48745,Chorizite_Chest,,,You have opened this chest already.,FALSE
chestchorizite48760,Chorizite_Chest,,,You have opened this chest already.,FALSE
chestchorizite48824,Chorizite_Chest,,,You have opened this chest already.,FALSE
chestchorizite51427,Chorizite_Chest,,,You have opened this chest already.,FALSE
ChestQuestLittlestNiffis1204,Niffis_Fighting_Pits,,,You have opened the Littlest Niffis chest!,FALSE
ApostateMessageShardPickedUp,Uncovering_the_Renegades,,,You have obtained an Apostate Message Shard.,FALSE
FrozenWightLairComplete1111,Wardley_and_the_Wights,,,You have obtained a Wardley Reward.,FALSE
FrozenWightLairTrophy1111,Wardley_and_the_Wights,,,You have obtained a Wardley belonging.,FALSE
FrozenFortressLabCompleted_0513,Frozen_Fortress_Laboratory_Quest,,,You have obtained a experimental bloodstone shadr.,FALSE
ApostateOverseerMaskPickedUp,Atamarr_Tasks,,,You have obtained a Apostate Overseer Mask.,FALSE
TotalGolemPlatinumKingDead,Platinum_Golem_Mountain_King_Kill_Task,,,You have killed some Platinum Golem Mountain Kings,FALSE
TotalGolemMagmaExarchDead,Magma_Golem_Exarch_Kill_Task,,,You have killed some Magma Golem Exarchs,FALSE
TotalGolemIronKingpinDead,Copper_Golem_Kingpin_Kill_Task,,,You have killed some Iron Golem Kingpins,FALSE
KrankDeliveryWaiJhou,Captain_K'rank's_Errands,,,You have been given a quest to deliver something to WaiJhou by Captain K'rank.,FALSE
KrankDeliveryStonehold,Captain_K'rank's_Errands,,,You have been given a quest to deliver something to Stonehold by Captain K'rank.,FALSE
KrankDeliveryDryreach,Captain_K'rank's_Errands,,,You have been given a quest to deliver something to Dryreach by Captain K'rank.,FALSE
KrankCollectionSclavus,Captain_K'rank's_Errands,,,You have been given a quest to collect Sclavus parts by Captain K'rank.,FALSE
KrankCollectionGolem,Captain_K'rank's_Errands,,,You have been given a quest to collect Golem hearts by Captain K'rank.,FALSE
KrankCollectionArmoredillo,Captain_K'rank's_Errands,,,You have been given a quest to collect Armoredillo hides by Captain K'rank.,FALSE
SandstoneWeaponKeyPickedUp,Slave_Master_Quest,,,You have aquired a sandstone weapon key.,FALSE
SandstoneMixedKeyPickedUp,Slave_Master_Quest,,,You have aquired a sandstone mixed key.,FALSE
SandstoneMagicKeyPickedUp,Slave_Master_Quest,,,You have aquired a sandstone magic key.,FALSE
SandstoneArmorKeyPickedUp,Slave_Master_Quest,,,You have aquired a sandstone armor key.,FALSE
WitheredAtollSword0105,Withered_Weapons,,,You have acquired the Sterile Sword! Now go out and kill something!,FALSE
QuestLittlestNiffisNoteAcquired1204,Niffis_Fighting_Pits,,,You have acquired the Littlest Niffis note!,FALSE
WitheredAtollAxe0105,Withered_Weapons,,,You have acquired the Insensate Axe! Now go out and kill something!,FALSE
WitheredAtollBow0105,Withered_Weapons,,,You have acquired the Barren Bow! Now go out and kill something!,FALSE
WitheredAtollAtlatl0105,Withered_Weapons,,,You have acquired the Anemic Atlatl! Now go out and kill something!,FALSE
ShardTurshTotemAssaultHighAcquired0105,Assault_Quest_(High),,,You have acquired a shard of the Tursh totem!,FALSE
ShardTurshTotemAssaultUberAcquired0105,Assault_Quest_(Expert),,,You have acquired a shard of the Tursh totem!,FALSE
ForgeEssenceXPRewardReceived0105,Crafting_Forges_(High),,,You handed a Western Forge Essence to an Agent of the Arcanum.,FALSE
ColorPuzzleGreenRiddle,Clutch_of_Kings_(Kiree),,,You got a riddle from the clue card.,FALSE
ColorPuzzleIndigoRiddle,Clutch_of_Kings_(Kiree),,,You got a riddle from the clue card.,FALSE
ColorPuzzleOrangeRiddle,Clutch_of_Kings_(Kiree),,,You got a riddle from the clue card.,FALSE
ColorPuzzleRedRiddle,Clutch_of_Kings_(Kiree),,,You got a riddle from the clue card.,FALSE
ColorPuzzleVioletRiddle,Clutch_of_Kings_(Kiree),,,You got a riddle from the clue card.,FALSE
ColorPuzzleYellowRiddle,Clutch_of_Kings_(Kiree),,,You got a riddle from the clue card.,FALSE
RoadsFailedKirLoz,Soul_Stone_Quest,,,You failed to answer Kir loz's question correctly.,FALSE
RoadsFailedJifLoz,Soul_Stone_Quest,,,You failed to answer Jif loz's question correctly.,FALSE
RoadsFailedHevkLoz,Soul_Stone_Quest,,,You failed to answer Hevk loz's question correctly.,FALSE
DeservesDarktideRecompense,,,,You deserve the hook-up!,FALSE
DeservesNewYearsGift0105,,,,You deserve a New Year's gift!,FALSE
DeservesHomecomingFlag,,,,You deserve a Homecoming Flag!,FALSE
DeservesRollbackRecompense0704,,,,You deserve a free level of XP because you lost two days of gameplay on July 25,FALSE
BagPuzzlePerforming,,,,You are performing the three bag puzzle.,FALSE
GolemIronKingpinSlayerQuest,Copper_Golem_Kingpin_Kill_Task,,,You are on the Mud Golem Sludge Lord Slayer Quest,FALSE
GolemMagmaExarchSlayerQuest,Magma_Golem_Exarch_Kill_Task,,,You are on the Mud Golem Sludge Lord Slayer Quest,FALSE
GolemPlatinumKingSlayerQuest,Platinum_Golem_Mountain_King_Kill_Task,,,You are on the Mud Golem Sludge Lord Slayer Quest,FALSE
GotHomecomingFlag,,,,You already got your Homecoming Flag!,FALSE
GaveYellowStone,Aerbax's_Prodigal_Lugian,,,Yellow Stone hand in Trial of the Mind,FALSE
yellowmonsterseed,House_Plants,,,Yellow Monster Seed counter,FALSE
NewbieQuestStampYaraq,Retired,,,Yaraq Stamp Quest,FALSE
YanshiWritingMiD,The_Writings_of_Jhong_Mi,,,Writing Jhong MiD Quest,FALSE
ArcanumFurniturePermission,Arcanum_Furniture,,,Writ Nov Quest 3,FALSE
WitheredAtollCrossbow0105,Withered_Weapons,,,Wretched Crossbow pickup,FALSE
CarenziRaceCup,Carenzi_Races,,,Won the Carenzi Cup,FALSE
AccessBoss10x,Advanced_Colosseum_Arena,,,Win Colo 10 Times,FALSE
WightKillTask,Graveyard_Wight_Kill_Task,,,Wight Kill Task,FALSE
WightBladeSorcererKillTask,Wight_Blade_Sorcerer_Kill_Task,,,Wight Blade Sorcerer Kill Task,FALSE
wightbladesorcererkillcount,Wight_Blade_Sorcerer_Kill_Task,,,Wight Blade Sorcerer Kill Counter,FALSE
WickedSkeletonKillTask,Wicked_Skeleton_Kill_Task,,,Wicked Skeleton Kill Task,FALSE
wickedskeletonkillcount,Wicked_Skeleton_Kill_Task,,,Wicked Skeleton Kill Counter,FALSE
GaveWhiteStone,Aerbax's_Prodigal_Lugian,,,White Stone hand in Trial of the Mind,FALSE
OlthoiTokenKey,,,,Weekly Olthoi Token of the key turn-in,FALSE
OlthoiTokenExp,,,,Weekly Olthoi Token of the Experience turn-in,FALSE
OlthoiTokenLum,,,,Weekly Olthoi Token of Luminance turn-in,FALSE
WeedingoftheDeruTree,Weeding_of_the_Deru_Tree,,,Weeding of the Deru Tree,FALSE
CanAccessQueenLairROT2,,,,wearing ring lets you go in lair,FALSE
WeakenedHarbingerReflectiveShard,Weakened_Harbinger_Quest,,,Weakened Harbinger Reflective Shard pickup timer,FALSE
SPOKEWITHFALLENMGR,Crystal_Minds_and_Shattered_Souls,,,was in robbed warehouse,FALSE
BestowerWar2,Bestowers'_Guild_of_Dereth,,,Warlock,FALSE
UberAerfalleStaffObtained,Lady_Aerfalle_Quest,,,War Staff of Aerfalle,FALSE
BestowerWar1,Bestowers'_Guild_of_Dereth,,,War Magic Adept,FALSE
VoraciousEaterKillTask,Voracious_Eater_Kill_Task,,,Voracious Eater Kill Task,FALSE
voraciouseaterkillcount,Voracious_Eater_Kill_Task,,,Voracious Eater Kill Counter,FALSE
VoidLordKillTask,Void_Lord_Kill_Task,,,Void Lord Kill Task,FALSE
voidlordkillcount,Void_Lord_Kill_Task,,,Void Lord Kill Counter,FALSE
ShroudVirindiOct01,,,,Virindi Shroud,FALSE
VirindiQuidioxKillTask,Virindi_Quidiox_Kill_Task,,,Virindi Quidiox Kill Task,FALSE
VirindiParadoxKillTask,Virindi_Paradox_Kill_Task,,,Virindi Paradox Kill Task,FALSE
VirindiMasterAmulet,,,,Virindi Master's Amulet,FALSE
VirindiManacles,,,,Virindi Manacles,FALSE
VirindiChimera,,,,Virindi Chimera,FALSE
ViridianZefirKillTask,Viridian_Zefir_Kill_Task,,,Viridian Zefir Kill Task,FALSE
viridianzefirkillcount,Viridian_Zefir_Kill_Task,,,Viridian Zefir Kill Counter,FALSE
ViridianWaspKillTask,Viridian_Wasp_Kill_Task,,,Viridian Wasp Kill Task,FALSE
viridianwaspkillcount,Viridian_Wasp_Kill_Task,,,Viridian Wasp Kill Counter,FALSE
ViridianAnekshenKillTask,Viridian_A'nekshen_Kill_Task,,,Viridian A'nekshen Kill Task,FALSE
viridiananekshenkillcount,Viridian_A'nekshen_Kill_Task,,,Viridian A'nekshen Kill Counter,FALSE
HarbingerCompletedWaitVincadi,Harbinger,,,Vincadi wants you to wait.,FALSE
ViamontianManatArmsKillTask,Viamontian_Man-at-Arms_Kill_Task,,,Viamontian Man-at-Arms Kill Task,FALSE
ViamontianKnightsKillTask,Torgash's_Tasks,,,Viamontian Knights Kill Task,FALSE
viamontianknightskillcount,Torgash's_Tasks,,,Viamontian Knights Kill Counter,FALSE
UsedFreeSkillReset,Attribute_and_Skill_Redistribution,,,Used your free skill reset at Asheron's Castle,FALSE
UsedFreeAttributeReset,Attribute_and_Skill_Redistribution,,,Used your free attribute reset at Asheron's Castle,FALSE
SkillReset30Day,Attribute_and_Skill_Redistribution,,,Used your 30 day skill reset at Asheron's Castle,FALSE
AttributeReset30Day,Attribute_and_Skill_Redistribution,,,Used your 30 day attribute reset at Asheron's Castle,FALSE
UsedLifestoneCandethKeep,Non-Quest,,,Used the Candeth Keep Lifestone.,FALSE
UsedSummoningMasteryReset,Non-Quest,,,Used Summoning Mastery Reset in Arwic,FALSE
UsedSkillReset,Attribute_and_Skill_Redistribution,,,Used skill reset at Asheron's Castle,FALSE
UsedRangedMasteryReset,Non-Quest,,,Used Ranged Mastery Reset in Arwic,FALSE
USEDNUHMUDIRALIFESTONE,,,,Used new Nuhmudira Lifestone,FALSE
UsedMeleeMasteryReset,Non-Quest,,,Used Melee Mastery Reset in Arwic,FALSE
UsedFreeSummoningMasteryReset,Non-Quest,,,Used free Summoning Mastery Reset in Arwic,FALSE
UsedFreeRangedMasteryReset,Non-Quest,,,Used free Ranged Mastery Reset in Arwic,FALSE
UsedFreeMeleeMasteryReset,Non-Quest,,,Used free Melee Mastery Reset in Arwic,FALSE
chestchorizite51280,Liberation_of_Uziz,,,Used Chorizite Chest in Virindi Edifice,FALSE
chestchorizite72137,Liberation_of_Uziz,,,Used Chorizite Chest in Virindi Edifice,FALSE
chestchorizite87566,,,,Used Chorizite Chest in Third Sister.,FALSE
chestchorizite72061,Rynthid_Foothold,,,Used Chorizite Chest in Rynthid Genesis,FALSE
chestchorizite51662,Rynthid_Foundry_Quest,,,Used Chorizite Chest in Rynthid Foundry,FALSE
chestchorizite51643,Seed_of_Power,,,Used Chorizite Chest in Rynthid Access,FALSE
chestchorizite72153,Lugian_Assault,,,Used Chorizite Chest in Presk's Bunker,FALSE
chestchorizite51327,Hive_Warrior_Pincer_Quest,,,Used Chorizite Chest in Hive Warrior Mound,FALSE
chestchorizite72698,Hive_Eviscerator_Pincer_Quest,,,Used Chorizite Chest in Hive Eviscerator Burrow,FALSE
chestchorizite87509,Four_Corners_of_Dereth,,,Used Chorizite Chest in Four Corners.,FALSE
chestchorizite48913,Foundry_of_Izexi_Quest,,,Used Chorizite Chest in Foundry of Izexi.,FALSE
chestchorizite72171,Purging_the_Corruption,,,Used Chorizite Chest in Curator of Torment's Study,FALSE
chestchorizite72172,Defeating_the_Curator_of_Torment,,,Used Chorizite Chest in Catacombs of Torment,FALSE
chestchorizite72060,End_of_Days,,,Used Chorizite Chest in Bah'Ktar Tower,FALSE
UsedAttributeReset,Attribute_and_Skill_Redistribution,,,Used attribute reset at Asheron's Castle,FALSE
UndeadSlayerWait,,,,Undead Slayer Quest Wait Timer,FALSE
UndeadJawCollection,Undead_Jaw_Collection,,,Undead Jaw Collection,FALSE
BestowerUnarmed1,Bestowers'_Guild_of_Dereth,,,Unarmed Brawler,FALSE
KillTaskRiftUmbral0907,Umbral_Rift_Kill_Task,,,Umbral Rift Kill Task Counter,FALSE
KillTaskRiftUmbralWait0907,Umbral_Rift_Kill_Task,,,Umbral Rift Kill Task,FALSE
PickedUpUmbralCrucibleTop,Loyalty_Reset_Quest,,,Umbral Crucible Top pickup timer,FALSE
PickedUpUmbralCrucibleBase,Loyalty_Reset_Quest,,,Umbral Crucible Base pickup timer,FALSE
CoveOswaldUlgrim,Oswald's_Dirk_Quest,,,Ulgrim needs the cider,FALSE
ApplicationGiven,Retired,,,Turned over the Application Form,FALSE
turnedinrytheransmnemosynelacarra,Disturbance_in_the_Ley_Lines,,,Turned Mnemosyne in to Lacarra,FALSE
TurnedInHeadHollowMinion,Non-quest,,,Turned in Hollow Minion Visage to the Mask Collector.,FALSE
BookTurnedIn,Halls_of_Knorr,,,Turned in book to Olcris.,FALSE
GaveOlthoiScoutNote1,Olthoi_Weapons_Quest,,,Turned in a note,FALSE
GaveOlthoiScoutNote2,Olthoi_Weapons_Quest,,,Turned in a note,FALSE
GaveOlthoiScoutNote3,Olthoi_Weapons_Quest,,,Turned in a note,FALSE
GaveOlthoiScoutNote4,Olthoi_Weapons_Quest,,,Turned in a note,FALSE
GaveOlthoiScoutNote5,Olthoi_Weapons_Quest,,,Turned in a note,FALSE
GaveOlthoiScoutNote6,Olthoi_Weapons_Quest,,,Turned in a note,FALSE
GaveOlthoiScoutNote7,Olthoi_Weapons_Quest,,,Turned in a note,FALSE
IceTachiTurnedIn,Ice_Tachi_Quest,,,Turned Ice Tachi into Ivory Crafter..,FALSE
RedLetterInProgress,Non-quest,Turn in 1 Red letter to collector,,Turn in Timer/Counter for Scarlet Red Letters,FALSE
GoldLetterInProgress,Non-quest,Turn in 1 gold letter to collector,,Turn in Timer/Counter for Lucky Gold Letters,FALSE
TumerokWarStaffQuest,,,,Tumerok War Staff Quest,FALSE
TumerokWarSpearQuest,,,,Tumerok War Spear Quest,FALSE
TumerokWarMaceQuest,,,,Tumerok War Mace Quest,FALSE
TumerokWarAxeQuest,,,,Tumerok War Axe Quest,FALSE
TumerokVanguardMorningstar,Tumerok_Vanguard_Outposts,,,Tumerok Vanguard Morningstar,FALSE
TumerokVanguardCrossbow,Tumerok_Vanguard_Outposts,,,Tumerok Vanguard Crossbow,FALSE
KilltaskTumerokGladiatorWait,Tumerok_Gladiator_Kill_Task,,,Tumerok Gladiator Kill Task,FALSE
